SENTIMIENTO DEFINITIVO,TWEET
NEUTRO,1401047081121353728-@dulcema201 @BronstonRaqsa02 Protocolo de COVID !!!!
NEUTRO,1258159310162595843-#COVID19 #QuedateEnCasa en Morelia Centro
POSITIVO,1272748988626862082-México va en en aumento con el #Covid_19. Tal vez no tengamos la estabilidad de Europa o estados unidos. Para mantener 120 días en paro total. Pero podemos ser precavidos al usar la #SanaDistancia
NEUTRO,1349385638722883585-@sororavirus Creo en todo y nada. 💜
NEGATIVO,1360615587114844161-@GobiernoMX había prometido 389
POSITIVO,1384487745033162755-Vacunación en Tonalá
NEGATIVO,1335343584875327494-No es cierto lo que dice @WHO
POSITIVO,1257755579101003776-Participa en familia con esta entretenida actividad #MejorEnCasa Manda tu vídeo a la brevedad y llevaré uno de los premios.#aquiestamos #IED #QuedateEnCasa https://t.co/BQZTpxwca2
POSITIVO,1317288163065401345-@lalitogonzaalez Acabar con el Coronavirus.
NEUTRO,1255373406624776194-#InternationalDanceDay #DID #ENCASA https://t.co/crIQOdoPgG
POSITIVO,1387166593306841093-¿Será buen síntoma de mejoría de Covid si me dieron ganas de jalarle le pescuezo al ganso? https://t.co/2zBtY6zEui
NEGATIVO,1346308397218623494-@CarlosLoret @HLGatell Y la perra seguía y seguía... 😒 https://t.co/6gQqhwsB6K
NEGATIVO,1449093106083762186-Publicidad engañosa @FAhorro Pagué y agendé mi cita en línea  para prueba #COVID19
NEGATIVO,1277088043862802432-@AngelMendoza26_ Quejarte de que no acaba la pandemia y hacer tus mega reuniones no tiene mucho sentido. Pero bueno amigo. Cierto tema.
POSITIVO,1246594978492616706-Hace rato hice un pedido por uber eats y la comida se la regalé al repartidor Los invito a poner nuestro granito de arena  Venga hagamos de esto una buena acción#YoMeQuedoEnCasa #StayAtHome #CuarentenaPositiva https://t.co/gpyfkFO8jl
NEUTRO,"1344199875181871110-""@BioCubaFarma @DrRobertoMOjeda @PresidenciaCuba @DiazCanelB @EdMartBCF Alex Chávez DoncyberPromotor N°1 En 🇲🇽 promoviendoInterferón Alfa 2b Encontra Covid-19 Pero El 100% Genuino CubanoImportante Respeto Al Medicamento Genuino CubanoDes de Guadalajara"
NEUTRO,1253678034751590402-#CuarentenaNacional #CDMX https://t.co/TcjusTegOw
NEGATIVO,"1245296274699628549-""Ordenan cierre de playas en México a turistas por Covid-19 https://t.co/KBc4WIvDFf"""
NEUTRO,1255647686956589056-@LaloChacon Fíjate que la tengo en mi lista
NEGATIVO,1425108321128824834-Ya me dieron nervios de que la semana que viene me toca la vacuna y le tengo un pavor a las inyecciones. Ya me vi haciéndome viral igual que el morro que le grita a la enfermera que lo va a matar. 😂😂😂
NEUTRO,"1375502470575718401-""Vacunan a personas que su apellido termine en """"A"
NEUTRO,1252666550378655744-🗣🙋🏻‍♂️ Las contradicciones de la lucha contra el Coronavirus.La opinión del periodista Víctor Hugo Hernández en 💯 palabras. https://t.co/60h6vc9Mxz
POSITIVO,1282286476378681344-#MoledeXico Tomando acciones preventivas
NEGATIVO,1347047870722174977-@julioastillero @lopezobrador_ @HLGatell Si @HLGatell quería convencer a la gente de lo que era mejor para ellos y sus familias era que se quedaran en casa y no anduvieran en reventones o vacaciones debió haber puesto el ejemplo
NEUTRO,1266519595583758337-Aquí está parte del equipo que hizo la exposición #encasaconmismonstruos 📷 de la gran @oliluema https://t.co/NjovKn19Lz
POSITIVO,1267871716178489345-@esteffgd Prueba de amor en tiempos de covid 😂
NEGATIVO,1288290404992000001-@yeidckol @lopezobrador_ @HLGatell @GobiernoMX @SSalud_mx Más de 43 mil muertos
POSITIVO,1348170783256944640-Excelente episodio del #CaparazonInside Artículo recomendable. “Educación postpandemia
POSITIVO,1267239286069477381-Siempre apoyó los pequeños negocios
NEGATIVO,1248653894554697732-Familias se aglomeran en mercado de La Viga https://t.co/42ALQyaZLt vía @YouTube   Esto es prueba de que al Mexicano le importa más la Fe que la Vida. Lo malo es que alargan la Cuarentena y después culpan al gobierno por dejarlos morir y no tener insumos.
NEGATIVO,1270048509849411585-@RodrigoJiso @pmigoya @lopezobrador_ @HLGatell Es ultraderechista
NEUTRO,1426708852511289344-@Fosfolamban Astrazeneca eres tú ?
NEGATIVO,"1287596938863542273-""Enferma “Batman Regio” bajo sospechas Covid.Candelario Maldonado"
NEGATIVO,1346478699286155267-@DeBuenaFe11 @V_TrujilloM @brozoxmiswebs @EstefaniaVeloz @lopezobrador_ 125 mil vacunas para 100 millones de habitantes... Si como no.
NEUTRO,"1354979100239212545-""☑️ Brayan Casas"
POSITIVO,1278075797849415681-LA VECCHIA SIGNORA DEL CALCIO QUE ESPECTÁCULO ULALAAAAA QUIEN DECÍA QUE EL BICHO ESTABA MUERTO DYBALA NI EL COVID TE PARA MADRE MÍA WILLYYYYY
NEGATIVO,1316212646295855104-@m_ebrard Vagones que se descarrilan.Pipas que no cumplen con las normas.Caretas chinas que se desbaratan.Vacunas ¿que....?A Marcelito
POSITIVO,1278001194271727618-@vampipe @HLGatell En Querétaro se están haciendo bien las cosas
NEUTRO,1249343309899870209-Hoy a las 11 am #ConsultaSaludable con el tema #QuedateEnCasa por 92.3 FM y https://t.co/Kxmui9HVvKHoy platicaremos con Aline Novelo
